benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
mpi-idle-wait,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,12630,+0.1,-4.3,-4.3,-4.8,-0.6,-0.0,+0.0,+0.0,ok
mpi-idle-wait,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,lit_3_5GHz,lit_2_3GHz,90,12630,+0.1,+0.3,+0.3,-0.0,-0.4,-0.0,+0.0,+0.0,ok
osu,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,19228,+174.8,-11.4,+163.4,+136.2,-27.2,+207.7,+208.1,+0.4,ok
osu,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,19228,+174.8,-10.0,+164.8,+136.9,-27.9,+207.8,+207.2,-0.6,ok
osu,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,19228,+174.8,-10.3,+164.5,+143.3,-21.2,+207.7,+208.0,+0.3,ok
osu,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,19228,+37.1,-11.4,+25.7,+17.1,-8.6,+42.7,+42.7,-0.0,ok
osu,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,19228,+37.1,-10.0,+27.1,+20.9,-6.2,+42.9,+43.1,+0.2,ok
osu,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,19228,+37.1,-10.3,+26.8,+23.0,-3.8,+42.8,+42.7,-0.1,ok
osu,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,19228,-0.4,-11.4,-11.8,-14.6,-2.8,+0.1,-0.0,-0.1,ok
osu,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,19228,-0.4,-10.0,-10.4,-13.0,-2.6,+0.2,+0.0,-0.2,ok
osu,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,19228,-0.4,-10.3,-10.7,-11.2,-0.5,+0.1,+0.2,+0.1,ok
