benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_90,50,43.2273,144798.09,43.3943,145245.38,1653.67
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,43.2599,144719.35,43.4171,145196.29,1698.65
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,134.1123,260219.73,134.0403,260385.43,3284.24
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,93.1087,201857.12,92.7545,201701.58,4414.80
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,72.4392,175008.56,74.7877,178287.72,10661.51
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,54.1285,153165.32,54.2262,153435.91,1468.84
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,45.2582,144963.98,45.2548,145140.05,1042.05
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,43.3397,144933.24,43.4522,145225.60,1604.79
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,43.3010,144907.74,43.4360,145386.59,1762.81
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,default,50,43.2723,145017.04,43.4295,145245.37,1656.13
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,43.2861,144995.41,43.4173,145277.27,1596.18
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,43.2748,144922.40,43.4028,145257.88,1611.12
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,43.3040,144796.64,43.4210,145196.10,1681.87
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,43.9706,146984.28,44.0833,147314.74,2056.09
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,43.9684,147000.70,44.0781,147294.71,2016.46
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,42.8652,143512.86,42.9628,143708.42,1525.23
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,43.2860,144936.99,43.4416,145315.88,1616.37
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,44.2676,148116.65,44.3297,148355.29,1692.94
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,46.3909,155419.44,46.4015,155317.68,1848.76
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,55.5523,167290.24,55.5618,167555.95,1023.56
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,default,50,45.0539,124082.09,45.0540,124093.48,787.79
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,45.0974,71832.04,45.0985,71994.07,1743.05
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,45.0599,96023.65,45.0608,95889.61,1327.27
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,45.0551,109432.53,45.0552,109799.46,2399.86
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,45.0539,120028.40,45.0539,120092.08,1912.77
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,45.0539,123703.93,45.0546,123834.22,790.39
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,45.0540,123655.41,45.0538,123756.74,771.93
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,45.0539,123780.63,45.0538,123836.01,775.73
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,45.0540,123748.06,45.0540,123813.92,800.01
gpu-bursty-idle,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,45.0541,123707.38,45.0539,123755.77,776.02
